64857,"DTCs - B2, Pending",DM47,,6.8,1706,SPN Conversion Method,

64858,"DTCs - B1, Previously Active",DM46,,1.1,987,Protect Lamp,
64858,"DTCs - B1, Previously Active",DM46,,1.3,624,Amber Warning Lamp,
64858,"DTCs - B1, Previously Active",DM46,,1.5,623,Red Stop Lamp,
64858,"DTCs - B1, Previously Active",DM46,,1.7,1213,Malfunction Indicator Lamp,
64858,"DTCs - B1, Previously Active",DM46,,2.1,3041,Flash Protect Lamp,
64858,"DTCs - B1, Previously Active",DM46,,2.3,3040,Flash Amber Warning Lamp (AWL),
64858,"DTCs - B1, Previously Active",DM46,,2.5,3039,Flash Red Stop Lamp (RSL),
64858,"DTCs - B1, Previously Active",DM46,,2.7,3038,Flash Malfunction Indicator Lamp,
64858,"DTCs - B1, Previously Active",DM46,,3,1214,Suspect Parameter Number,
64858,"DTCs - B1, Previously Active",DM46,,5,1215,Failure Mode Identifier,
64858,"DTCs - B1, Previously Active",DM46,,6,1216,Occurrence Count,
64858,"DTCs - B1, Previously Active",DM46,,6.8,1706,SPN Conversion Method,

64859,"DTCs - B1, Confirmed and Active",DM45,,1.1,987,Protect Lamp,
64859,"DTCs - B1, Confirmed and Active",DM45,,1.3,624,Amber Warning Lamp,
64859,"DTCs - B1, Confirmed and Active",DM45,,1.5,623,Red Stop Lamp,
64859,"DTCs - B1, Confirmed and Active",DM45,,1.7,1213,Malfunction Indicator Lamp,
64859,"DTCs - B1, Confirmed and Active",DM45,,2.1,3041,Flash Protect Lamp,
64859,"DTCs - B1, Confirmed and Active",DM45,,2.3,3040,Flash Amber Warning Lamp (AWL),
64859,"DTCs - B1, Confirmed and Active",DM45,,2.5,3039,Flash Red Stop Lamp (RSL),
64859,"DTCs - B1, Confirmed and Active",DM45,,2.7,3038,Flash Malfunction Indicator Lamp,
64859,"DTCs - B1, Confirmed and Active",DM45,,3,1214,Suspect Parameter Number,
64859,"DTCs - B1, Confirmed and Active",DM45,,5,1215,Failure Mode Identifier,
64859,"DTCs - B1, Confirmed and Active",DM45,,6,1216,Occurrence Count,
64859,"DTCs - B1, Confirmed and Active",DM45,,6.8,1706,SPN Conversion Method,

64860,"DTCs - B1, Pending",DM44,,1.1,987,Protect Lamp,
64860,"DTCs - B1, Pending",DM44,,1.3,624,Amber Warning Lamp,
64860,"DTCs - B1, Pending",DM44,,1.5,623,Red Stop Lamp,
64860,"DTCs - B1, Pending",DM44,,1.7,1213,Malfunction Indicator Lamp,
64860,"DTCs - B1, Pending",DM44,,2.1,3041,Flash Protect Lamp,
64860,"DTCs - B1, Pending",DM44,,2.3,3040,Flash Amber Warning Lamp (AWL),
64860,"DTCs - B1, Pending",DM44,,2.5,3039,Flash Red Stop Lamp (RSL),
64860,"DTCs - B1, Pending",DM44,,2.7,3038,Flash Malfunction Indicator Lamp,
64860,"DTCs - B1, Pending",DM44,,3,1214,Suspect Parameter Number,
64860,"DTCs - B1, Pending",DM44,,5,1215,Failure Mode Identifier,
64860,"DTCs - B1, Pending",DM44,,6,1216,Occurrence Count,
64860,"DTCs - B1, Pending",DM44,,6.8,1706,SPN Conversion Method,

64861,"DTCs - A, Previously Active",DM43,,1.1,987,Protect Lamp,
64861,"DTCs - A, Previously Active",DM43,,1.3,624,Amber Warning Lamp,
64861,"DTCs - A, Previously Active",DM43,,1.5,623,Red Stop Lamp,
64861,"DTCs - A, Previously Active",DM43,,1.7,1213,Malfunction Indicator Lamp,
64861,"DTCs - A, Previously Active",DM43,,2.1,3041,Flash Protect Lamp,
